Book Title,Book Link,Review Page Link,Unique ID
Call It Sleep,https://www.goodreads.com/book/show/366524.Call_It_Sleep,"https://www.goodreads.com/book/show/366524/reviews?reviewFilters={""workId"":""kca://work/amzn1.gr.work.v1.1hOWldmKSfDRbFaCwUnSjg"",""after"":""NTA5LDEzMjc3ODE1OTUwMDA""}",366524
The Sheltering Sky,https://www.goodreads.com/book/show/243598.The_Sheltering_Sky,"https://www.goodreads.com/book/show/243598/reviews?reviewFilters={""workId"":""kca://work/amzn1.gr.work.v1.xQ7C7ZpNE8KFeFM5uzuaBA"",""after"":""MjAwNiwxMzg3MTM0ODcyMDAw""}",243598
A Handful of Dust,https://www.goodreads.com/book/show/531262.A_Handful_of_Dust,"https://www.goodreads.com/book/show/531262/reviews?reviewFilters={""workId"":""kca://work/amzn1.gr.work.v1.DbJ8d-gtoLLXvYofr_VofQ"",""after"":""MTcxNSwxNjQ5NDIzNTEzMzA4""}",531262
The Sportswriter,https://www.goodreads.com/book/show/40722.The_Sportswriter,"https://www.goodreads.com/book/show/40722/reviews?reviewFilters={""workId"":""kca://work/amzn1.gr.work.v1.O0Ky9CU9hq2OqdMpRkpzWA"",""after"":""MTEyMSwxMzkzNzMxMjM2MDAw""}",40722
The Berlin Stories,https://www.goodreads.com/book/show/16810.The_Berlin_Stories,"https://www.goodreads.com/book/show/16810/reviews?reviewFilters={""workId"":""kca://work/amzn1.gr.work.v1.Bj8biXC3GSI4R0Lno5bBWQ"",""after"":""NDEyLDE1MTQ2NjExMzAwMDA""}",16810
A Death in the Family,https://www.goodreads.com/book/show/113091.A_Death_in_the_Family,"https://www.goodreads.com/book/show/113091/reviews?reviewFilters={""workId"":""kca://work/amzn1.gr.work.v1.t4ptvJ-RovxQtKxHRrouyw"",""after"":""MTM1NSwxNDAzNzk4ODQzMDAw""}",113091
The Recognitions,https://www.goodreads.com/book/show/395058.The_Recognitions,"https://www.goodreads.com/book/show/395058/reviews?reviewFilters={""workId"":""kca://work/amzn1.gr.work.v1.ZYAilmjPkxMfpOJ2INlqFw"",""after"":""MjQ1OCwxMzk0MTIyODQxMDAw""}",395058
Dog Soldiers,https://www.goodreads.com/book/show/380364.Dog_Soldiers,"https://www.goodreads.com/book/show/380364/reviews?reviewFilters={""workId"":""kca://work/amzn1.gr.work.v1.tStY7l2UEoOZDlabREzmRg"",""after"":""NDU4LDE2NDY4NjA2NzM2NDY""}",380364
The Assistant,https://www.goodreads.com/book/show/3068.The_Assistant,"https://www.goodreads.com/book/show/3068/reviews?reviewFilters={""workId"":""kca://work/amzn1.gr.work.v1.KCGer7W5iKmGIr8YQN5hbA"",""after"":""MTIzOSwxNjY5ODAwMTc1NDA5""}",3068
Loving,https://www.goodreads.com/book/show/771507.Loving,"https://www.goodreads.com/book/show/771507/reviews?reviewFilters={""workId"":""kca://work/amzn1.gr.work.v1.6JyWxeySlXSUe-NAk_PbAw"",""after"":""MzUyLDE1MjQ3ODk2MDE5NjA""}",771507
Under the Net,https://www.goodreads.com/book/show/11324.Under_the_Net,"https://www.goodreads.com/book/show/11324/reviews?reviewFilters={""workId"":""kca://work/amzn1.gr.work.v1.mA0WT_oAUcPh97IEgBMopg"",""after"":""MTMxOCwxMzIyMzAyOTQxMDAw""}",11324
"A Dance to the Music of Time: 1st Movement (A Dance to the Music of Time, #1-3)",https://www.goodreads.com/book/show/16113.A_Dance_to_the_Music_of_Time,"https://www.goodreads.com/book/show/16113/reviews?reviewFilters={""workId"":""kca://work/amzn1.gr.work.v1.Yt6D2v-0rdz7B845PBrZfw"",""after"":""NDA1LDEzNTg0Mzg5NTAwMDA""}",16113
An American Tragedy,https://www.goodreads.com/book/show/331319.An_American_Tragedy,"https://www.goodreads.com/book/show/331319/reviews?reviewFilters={""workId"":""kca://work/amzn1.gr.work.v1.RE1d9xGockJRYotgnOSb6w"",""after"":""ODgxLDE1NTczNjM0NzE4MzE""}",331319
Falconer,https://www.goodreads.com/book/show/722367.Falconer,"https://www.goodreads.com/book/show/722367/reviews?reviewFilters={""workId"":""kca://work/amzn1.gr.work.v1.5r-98mxyN3wLD_R9Q_qFXA"",""after"":""NTA4LDE1NTA4MzMwMjk5MjU""}",722367
The Death of the Heart,https://www.goodreads.com/book/show/91494.The_Death_of_the_Heart,"https://www.goodreads.com/book/show/91494/reviews?reviewFilters={""workId"":""kca://work/amzn1.gr.work.v1.Xlx8xSKCf8gY_d_LcT_s8A"",""after"":""MTE2NSwxNDYyMDA5MDcyMDAw""}",91494
